Step Volume Temp Press KinEng PotEng Enthalpy E_mol E_vdwl E_tail E_coul E_long
1377200.00 48031.5352 198.072281 3543.08350 2417.75293 2014.96106 6914.61084 1948.42493 -10.4033031 -8.08784199 268.362396 -191.422943
1377400.00 48031.5352 197.134628 3539.13892 2406.30762 1938.46680 6823.90820 1901.89771 -40.9314423 -8.08784199 268.934937 -191.434326
1377600.00 48031.5352 203.756607 3692.59351 2487.13818 1922.98096 6996.74609 1869.92285 -25.1223869 -8.08784199 269.485626 -191.305237
1377800.00 48031.5352 201.166092 3011.81860 2455.51709 1962.14551 6527.41357 1911.58704 -27.2788925 -8.08784199 269.103394 -191.266037
1378000.00 48031.5352 198.196762 3240.40820 2419.27222 1933.44202 6622.58984 1865.95312 -11.0535059 -8.08784199 269.634613 -191.092285
1378200.00 48031.5352 202.770737 2438.67480 2475.10425 1984.04150 6167.41455 1935.09912 -29.0662899 -8.08784199 269.202637 -191.193924
1378400.00 48031.5352 198.916321 2391.48706 2428.05542 1968.71484 6071.98486 1910.92444 -19.7932243 -8.08784199 268.865997 -191.282379
1378600.00 48031.5352 194.898010 2770.36304 2379.00635 1942.56311 6262.18311 1878.37341 -13.3286715 -8.08784199 268.721222 -191.202835
1378800.00 48031.5352 204.198303 3011.84570 2492.52979 1947.95496 6550.25488 1893.90967 -23.7681332 -8.08784199 268.970917 -191.157394
1379000.00 48031.5352 197.322617 3083.75024 2408.60229 1983.79724 6552.53760 1929.26526 -23.2266083 -8.08784199 268.822144 -191.063538
1379200.00 48031.5352 196.597717 2408.10449 2399.75366 1990.80615 6077.41455 1938.27515 -25.2170620 -8.08784199 268.798218 -191.050110
1379400.00 48031.5352 204.022507 3264.65820 2490.38379 1960.37024 6737.61670 1899.54395 -16.6910763 -8.08784199 268.545593 -191.028168
1379600.00 48031.5352 198.728943 3930.27954 2425.76831 1947.09229 7125.98486 1894.51965 -25.9966946 -8.08784199 269.473694 -190.904282
1379800.00 48031.5352 203.727158 3020.66675 2486.77856 1996.52295 6599.25049 1942.10168 -23.1295795 -8.08784199 268.691132 -191.140274
1380000.00 48031.5352 200.602264 3570.12891 2448.63501 2017.75854 6967.23535 1942.80066 -2.54244137 -8.08784199 268.525421 -191.025101
1380200.00 48031.5352 198.345108 4772.99268 2421.08325 1996.17505 7760.69531 1923.52844 -5.53079510 -8.08784199 269.058777 -190.881378
1380400.00 48031.5352 195.917831 4860.02832 2391.45459 2042.50403 7838.36328 1985.59595 -20.6280823 -8.08784199 268.602448 -191.066345
1380600.00 48031.5352 209.145523 3975.10620 2552.91748 2003.22583 7340.66797 1938.30334 -12.1406803 -8.08784199 268.370026 -191.306885
1380800.00 48031.5352 198.470398 3953.72632 2422.61255 1997.19666 7189.35742 1946.92822 -27.2185001 -8.08784199 268.658142 -191.171204
1381000.00 48031.5352 198.441376 4996.68213 2422.25830 1979.27856 7901.66602 1931.74365 -29.4052353 -8.08784199 268.122040 -191.181946
1381200.00 48031.5352 202.133606 3849.17285 2467.32715 2024.43262 7188.06934 1973.81641 -27.2589111 -8.08784199 268.964722 -191.089645
1381400.00 48031.5352 194.898758 3369.49390 2379.01562 1995.64185 6734.95654 1940.18774 -22.7848511 -8.08784199 269.208069 -190.969040
