Step Volume Temp Press KinEng PotEng E_bond E_angle E_dihed E_impro E_mol E_vdwl E_tail E_coul E_long Enthalpy Density Cella Cellb Cellc CellAlpha CellBeta CellGamma
13800.0000 44427.6211 198.763596 -2139.28687 2426.19141 4759.50000 841.973938 712.648499 458.486389 74.4428101 2087.55151 -3198.83789 -87.4396286 25559.6289 -19688.8418 5799.58008 1.07283902 28.1083164 39.0898285 40.4420967 89.9652252 90.6785202 90.8579407
14000.0000 44143.6836 202.242508 -3165.34790 2468.65649 4689.57275 840.155334 688.203552 453.421539 66.7066040 2048.48706 -3213.25269 -88.0020523 25544.8672 -19690.5293 5120.40869 1.07973957 27.9648037 39.0278702 40.4520798 90.0681763 90.3995819 90.8517609
14200.0000 43961.6406 202.894424 -201.310654 2476.61401 4598.21826 797.230286 680.116577 437.388611 71.0881119 1985.82361 -3233.49512 -88.3664627 25536.4590 -19690.5684 6945.76514 1.08421075 27.9158688 38.9248047 40.4598656 90.0814133 89.9107437 90.6410294
14400.0000 44343.5977 198.832764 2936.64844 2427.03589 4737.24219 811.284912 741.282837 454.309601 67.9469299 2074.82422 -3205.05151 -87.6053162 25556.1367 -19688.6660 9063.42578 1.07487190 28.1250896 38.9441757 40.4875565 90.0583572 89.4166260 90.2570343
14600.0000 44628.4844 201.257004 2532.52759 2456.62695 4772.64258 802.234802 737.556396 472.094421 74.5624237 2086.44800 -3191.85156 -87.0460892 25567.1035 -19689.0566 8877.59277 1.06801045 28.2921238 38.9418335 40.5114479 90.0333099 89.1527939 89.9779129
14800.0000 44482.9688 203.713455 128.173965 2486.61133 4756.92969 792.971375 720.469910 464.109955 73.9785995 2051.52979 -3165.52783 -87.3308411 25561.3320 -19690.4062 7326.69238 1.07150424 28.3100147 38.8827858 40.4153557 89.9247055 89.1497116 89.8266296
15000.0000 44362.8320 197.527054 -1956.98560 2411.09766 4736.40918 822.992249 702.926331 467.765533 71.5328827 2065.21680 -3194.91602 -87.5673294 25556.0762 -19689.9688 5881.36377 1.07440579 28.2899151 38.9019852 40.3139725 89.8258591 89.2825928 89.7598419
15200.0000 44254.2266 205.379715 -522.528870 2506.95068 4722.74170 820.356445 715.204163 442.387787 73.1986237 2051.14722 -3217.11255 -87.7822342 25578.0586 -19689.3516 6892.45068 1.07704258 28.2805557 38.9331131 40.1948776 89.7372818 89.5548553 89.7142181
15400.0000 44386.2188 196.363190 1041.84497 2396.89111 4725.78711 782.910034 759.161133 464.621185 65.0570297 2071.74951 -3198.38672 -87.5212021 25542.7246 -19690.2988 7797.09277 1.07383978 28.3483276 38.9785461 40.1702805 89.7394714 89.8988647 89.7343521
15600.0000 44512.8477 198.925674 775.229248 2428.16992 4716.70898 785.085938 747.096497 455.608948 71.1098862 2058.90137 -3196.28613 -87.2722168 25543.6406 -19689.5469 7648.13770 1.07078493 28.3967705 39.0013733 40.1924210 89.8378830 90.2344284 89.8154526
15800.0000 44437.1953 203.993256 -534.515198 2490.02661 4725.68457 801.693970 725.437073 464.760376 74.5872040 2066.47852 -3203.14526 -87.4207993 25550.7520 -19688.3984 6869.30762 1.07260787 28.3267441 38.9453087 40.2823296 89.9248505 90.5379639 89.9424973
16000.0000 44343.5898 198.032303 -1668.21179 2417.26489 4722.29004 782.163147 696.820618 486.674500 77.6548843 2043.31311 -3188.26587 -87.6053314 25555.9746 -19688.7305 6060.71240 1.07487202 28.2562351 38.8797340 40.3669472 90.0405884 90.7007294 90.0280991
16200.0000 44385.9727 196.097183 -1097.07397 2393.64404 4733.19775 796.179565 734.446533 457.065735 75.4130478 2063.10474 -3185.37988 -87.5216827 25543.7773 -19688.3047 6416.67969 1.07384574 28.2423553 38.8266487 40.4803696 90.0920258 90.6473770 90.1395264
16400.0000 44470.8438 198.917374 1106.98608 2428.06836 4771.15479 799.903687 728.041016 461.104523 77.9547424 2067.00391 -3174.04102 -87.3546524 25567.0508 -19688.8574 7917.17188 1.07179630 28.2739697 38.7924538 40.5469093 90.1312943 90.3575058 90.3208923
16600.0000 44710.2109 201.042297 1606.67285 2454.00610 4809.35352 807.723877 743.912598 472.901794 79.8074875 2104.34570 -3182.90552 -86.8869705 25576.1348 -19688.2207 8310.99512 1.06605816 28.2931309 38.8247375 40.7042503 90.0142746 89.8851471 90.5727005
16800.0000 44545.5156 201.548340 167.683350 2460.18311 4742.89209 811.415344 743.071655 455.712677 75.0354233 2085.23511 -3196.41089 -87.2082138 25544.0391 -19689.9727 7312.01074 1.06999958 28.2290745 38.7384872 40.7399750 89.8891296 89.4555664 90.7328873
17000.0000 44386.2734 199.368011 -621.087524 2433.56909 4708.71533 810.681824 688.936707 456.738129 71.1087952 2027.46545 -3206.10449 -87.5210800 25576.4785 -19689.1230 6740.23682 1.07383835 28.2170086 38.7361145 40.6165428 89.7252045 89.1713028 90.6791306
17200.0000 44314.5469 203.445557 -597.440979 2483.34131 4763.98438 816.779602 710.649475 470.544464 82.1350327 2080.10840 -3183.67651 -87.6627426 25556.8223 -19689.2715 6861.21045 1.07557654 28.2837543 38.7586594 40.4316330 89.7205963 89.0714417 90.5252075
17400.0000 44514.0195 198.229797 -438.023621 2419.67578 4783.99023 811.918152 719.718079 471.431091 77.1368179 2080.20410 -3175.56738 -87.2699203 25568.8945 -19689.5410 6919.30469 1.07075667 28.4684639 38.8318138 40.2717476 89.9329147 89.1507111 90.3316803
17600.0000 44765.8281 197.415421 1287.10229 2409.73486 4793.25000 804.925964 734.030151 471.264587 73.3935699 2083.61426 -3157.75146 -86.7790222 25555.0488 -19687.6602 8043.28760 1.06473362 28.5353127 38.9740753 40.2546196 90.0155792 89.3602829 90.0833206
17800.0000 44492.1797 200.467255 904.050476 2446.98682 4760.01270 797.359802 720.569153 466.312836 78.3346252 2062.57642 -3174.32593 -87.3127594 25561.6914 -19689.9297 7793.61328 1.07128227 28.4149799 38.9687309 40.1821442 90.2445602 89.6516953 89.8740921
18000.0000 44207.8125 198.202850 679.379944 2419.34668 4754.56494 815.793945 719.951416 466.786011 69.2344055 2071.76587 -3186.82153 -87.8743973 25558.8770 -19689.2559 7611.92529 1.07817328 28.2866497 38.9213486 40.1552086 90.2988434 89.9575272 89.6946564
18200.0000 44343.0000 193.199738 -735.943542 2358.27661 4702.41846 800.448425 717.833740 446.696899 69.1676483 2034.14673 -3213.34570 -87.6064987 25570.3477 -19688.7305 6584.76221 1.07488632 28.2475224 38.9420357 40.3127174 90.1638870 90.2535400 89.6110382
18400.0000 44375.9297 201.298569 -425.136688 2457.13452 4723.48877 813.044617 712.398071 441.519104 78.5466843 2045.50854 -3187.30225 -87.5414886 25554.9355 -19689.6523 6905.48389 1.07408869 28.1891994 38.8895302 40.4811096 89.8751984 90.4088974 89.6473846
18600.0000 44556.9258 199.699387 -942.830444 2437.61401 4789.95996 828.480530 740.800537 458.055084 67.6318665 2094.96802 -3182.90771 -87.1858826 25566.9238 -19689.0234 6614.90723 1.06972563 28.1879044 38.9027290 40.6348228 89.6896057 90.4710922 89.7291031
18800.0000 44557.4180 201.358932 -692.394958 2457.87109 4727.65771 790.981201 717.938416 445.603027 76.3139420 2030.83655 -3171.37036 -87.1849136 25556.9902 -19688.7988 6735.59375 1.06971383 28.2160988 38.8640633 40.6341476 89.7816315 90.3960266 89.7971191
19000.0000 44420.3164 197.443695 169.239243 2410.08008 4749.14307 789.612976 724.472290 457.214294 76.7641220 2048.06372 -3160.32129 -87.4540100 25549.5605 -19688.1582 7268.86084 1.07301545 28.2887402 38.7197952 40.5544930 90.0316315 90.2086105 89.8759308
19200.0000 44546.4297 202.808945 -172.969620 2475.57056 4775.02588 825.650391 735.154602 447.141022 71.3983841 2079.34448 -3187.42822 -87.2064285 25572.3203 -19689.2129 7138.22412 1.06997764 28.4179039 38.6927376 40.5134315 90.3351288 89.9833603 89.9487839
19400.0000 44569.8047 198.944000 -143.366669 2428.39331 4756.68506 798.047058 709.011841 457.880951 82.4691467 2047.40906 -3173.27832 -87.1606903 25571.3828 -19688.8281 7091.88916 1.06941652 28.4965305 38.6834412 40.4331360 90.3597488 89.7269974 90.0685501
