Step Volume Temp Press KinEng PotEng TotEng Enthalpy E_vdwl E_tail E_coul E_long v_lbda v_scale_lj v_scale_coul c_lj c_coul
564200.000 51006.1797 199.425293 1678.21411 2434.26831 2901.53906 5335.80713 6584.18506 -1408.31628 -45.3161812 9242.19629 -6818.86328 0.550000012 0.595000029 0.354025006 -1363.00012 9242.19629
564400.000 51006.1797 201.251907 2582.11182 2456.56470 2936.97388 5393.53857 7314.30127 -1397.24683 -45.3161812 9232.81738 -6820.73291 0.550000012 0.595000029 0.354025006 -1351.93054 9232.81738
564600.000 51006.1797 201.680023 3370.05615 2461.79028 2960.32007 5422.11035 7929.00342 -1389.41016 -45.3161812 9237.78125 -6819.22461 0.550000012 0.595000029 0.354025006 -1344.09399 9237.78125
564800.000 51006.1797 195.647125 2440.89380 2388.15039 2935.14185 5323.29199 7139.00684 -1411.68787 -45.3161812 9249.51953 -6815.52832 0.550000012 0.595000029 0.354025006 -1366.37170 9249.51953
565000.000 51006.1797 200.885101 1243.54321 2452.08740 2960.57739 5412.66455 6337.70264 -1391.37793 -45.3161812 9240.81738 -6819.63135 0.550000012 0.595000029 0.354025006 -1346.06165 9240.81738
565200.000 51006.1797 199.299103 1459.07605 2432.72803 2886.98511 5319.71338 6405.08008 -1395.10388 -45.3161812 9232.86328 -6819.99414 0.550000012 0.595000029 0.354025006 -1349.78772 9232.86328
565400.000 51006.1797 198.828644 1778.86108 2426.98535 2908.33179 5335.31738 6658.56348 -1402.65967 -45.3161812 9227.95898 -6818.74951 0.550000012 0.595000029 0.354025006 -1357.34351 9227.95898
565600.000 51006.1797 201.583359 2879.28369 2460.61060 2941.94556 5402.55615 7544.37695 -1389.30225 -45.3161812 9238.14258 -6816.41699 0.550000012 0.595000029 0.354025006 -1343.98596 9238.14258
565800.000 51006.1797 197.287643 2115.76880 2408.17529 2895.88745 5304.06299 6877.92578 -1397.72388 -45.3161812 9220.01953 -6817.83350 0.550000012 0.595000029 0.354025006 -1352.40771 9220.01953
566000.000 51006.1797 202.932953 2058.87988 2477.08447 2858.65991 5335.74414 6867.28857 -1420.70508 -45.3161812 9227.37598 -6819.85156 0.550000012 0.595000029 0.354025006 -1375.38892 9227.37598
566200.000 51006.1797 199.629227 2510.53198 2436.75781 2953.32959 5390.08740 7257.60352 -1402.06091 -45.3161812 9238.79297 -6815.56445 0.550000012 0.595000029 0.354025006 -1356.74475 9238.79297
